name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xspp -a lz4 -> xs,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt.xslz4 /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt.xslz4.meta,10.057365439093486,1.34,1.52,1.412,0.06779052703405951,9.0,9.92,9.43,0.2451756739791106,0.85,2.35,1.354,0.6338804654226572,10.22,11.6,10.784,0.4853223441979335
lz4cat | rg,l z 4 c a t   / h o m e / l f r e i s t / C L i o n P r o j e c t s / x - s e a r c h / b e n c h _ d a t a / e n . s a m p l e . t x t . l z 4   |   r g   S h e r l o c k,1.240370338020788,10.8,13.4,11.449,0.7513905627420256,6.97,8.4,7.366,0.4306635706803063,2.59,3.43,2.795,0.2457754169064831,9.59,11.83,10.161,0.6471724825904006
lz4cat | xs,l z 4 c a t   / h o m e / l f r e i s t / C L i o n P r o j e c t s / x - s e a r c h / b e n c h _ d a t a / e n . s a m p l e . t x t . l z 4   |   x s   S h e r l o c k,1.070803800331775,12.51,14.22,13.262,0.5783270893034691,7.89,8.88,8.359,0.36201442574080445,4.23,4.85,4.44,0.19407902170679506,12.14,13.719999999999999,12.799,0.5370381736897292
lz4cat,zstdcat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt.lz4,1.0,13.7,14.99,14.201,0.46441001998952036,6.9,7.28,7.092,0.14101221381300422,6.34,7.36,6.804,0.3214965007585619,13.47,14.629999999999999,13.896,0.41883966701670755
lz4cat | grep,l z 4 c a t   / h o m e / l f r e i s t / C L i o n P r o j e c t s / x - s e a r c h / b e n c h _ d a t a / e n . s a m p l e . t x t . l z 4   |   g r e p   S h e r l o c k,0.9010786802030457,14.89,17.23,15.76,0.8600129197995936,6.64,7.72,7.083,0.3504616003691893,1.85,2.23,2.018,0.13603921003397024,8.66,9.95,9.100999999999999,0.43818945674217225
